N_IDE;Estrato;qvar;Elev_pob;se;se2;;;;;;
390020100111;3;1.00;278.062442666;25;253;;;;;;
390110100131;3;1.00;264.439786974;25;253;;;;;;
390370100114;3;1.00;229.020882173;25;253;;;;;;
390370100125;3;1.00;229.020882173;25;253;;;;;;
390370100126;3;1.00;229.020882173;25;253;;;;;;
390410100116;3;1.00;295.565235584;25;253;;;;;;
390440100203;3;1.00;230.463281011;25;253;;;;;;
390440100211;3;1.00;230.463281011;25;253;;;;;;
390440100214;3;1.00;230.463281011;25;253;;;;;;
390440100229;3;1.00;230.463281011;25;253;;;;;;
390560100204;3;1.00;226.204770156;25;253;;;;;;
390560100215;3;1.00;226.204770156;25;253;;;;;;
390560100216;3;1.00;226.204770156;25;253;;;;;;
390570100119;3;1.00;294.721727492;25;253;;;;;;
390570100132;3;1.00;294.721727492;25;253;;;;;;
390570100134;3;1.00;294.721727492;25;253;;;;;;
390760100122;3;1.00;261.463408419;25;253;;;;;;
390760100206;3;1.00;257.036999287;25;253;;;;;;
390760100213;3;1.00;257.036999287;25;253;;;;;;
390760100217;3;1.00;257.036999287;25;253;;;;;;
390760100220;3;1.00;257.036999287;25;253;;;;;;
390950100101;3;1.00;253.381395882;25;253;;;;;;
390950100125;3;1.00;253.381395882;25;253;;;;;;
390950100134;3;1.00;253.381395882;25;253;;;;;;
390990100203;3;1.00;321.376583212;25;253;;;;;;
390990100215;3;1.00;321.376583212;25;253;;;;;;
390990100218;3;1.00;321.376583212;25;253;;;;;;
390990100234;3;1.00;321.376583212;25;253;;;;;;
391020100226;3;1.00;241.361405565;25;253;;;;;;
390020100115;3;1.00;278.062442666;26;263;;;;;;
390020100134;3;1.00;278.062442666;26;263;;;;;;
390110100137;3;1.00;264.439786974;26;263;;;;;;
390370100108;3;1.00;229.020882173;26;263;;;;;;
390370100131;3;1.00;229.020882173;26;263;;;;;;
390370100132;3;1.00;229.020882173;26;263;;;;;;
390370100137;3;1.00;229.020882173;26;263;;;;;;
390410100107;3;1.00;295.565235584;26;263;;;;;;
390410100125;3;1.00;295.565235584;26;263;;;;;;
390410100132;3;1.00;295.565235584;26;263;;;;;;
390440100213;3;1.00;230.463281011;26;263;;;;;;
390440100250;3;1.00;230.463281011;26;263;;;;;;
390560100218;3;1.00;226.204770156;26;263;;;;;;
390560100222;3;1.00;226.204770156;26;263;;;;;;
390570100109;3;1.00;294.721727492;26;263;;;;;;
390570100136;3;1.00;294.721727492;26;263;;;;;;
390760100115;3;1.00;261.463408419;26;263;;;;;;
390760100120;3;1.00;261.463408419;26;263;;;;;;
390760100126;3;1.00;261.463408419;26;263;;;;;;
390760100132;3;1.00;261.463408419;26;263;;;;;;
390760100132;3;1.00;261.463408419;26;263;;;;;;
390760100140;3;1.00;261.463408419;26;263;;;;;;
390760100201;3;1.00;257.036999287;26;263;;;;;;
390760100226;3;1.00;257.036999287;26;263;;;;;;
390760100231;3;1.00;257.036999287;26;263;;;;;;
390950100128;3;1.00;253.381395882;26;263;;;;;;
390950100129;3;1.00;253.381395882;26;263;;;;;;
390950100153;3;1.00;253.381395882;26;263;;;;;;
390230100418;4;1.00;256.351029570;11;114;;;;;;
390400100140;4;1.00;253.190104421;11;114;;;;;;
390400100235;4;1.00;241.494681370;11;114;;;;;;
390420100335;4;1.00;295.704547672;11;114;;;;;;
390600200145;4;1.00;251.451595589;11;114;;;;;;
390600200218;4;1.00;241.810773885;11;114;;;;;;
390600200237;4;1.00;241.810773885;11;114;;;;;;
390850200113;4;1.00;265.517712501;11;114;;;;;;
390850200148;4;1.00;265.517712501;11;114;;;;;;
390230100426;4;1.00;256.351029570;12;124;;;;;;
390230100437;4;1.00;256.351029570;12;124;;;;;;
